Agency Name,ORI Number
HESSMER POLICE DEPARTMENT,LA0050700
HODGE POLICE DEPARTMENT,LA0250400
HOMER POLICE DEPARTMENT,LA0140200
HORNBECK POLICE DEPARTMENT,LA0580400
HOSSTON POLICE DEPARTMENT,LA0090700
HOUMA POLICE DEPARTMENT,LA0550100
IDA POLICE DEPARTMENT,LA0090800
INDEPENDENCE POLICE DEPARTMENT,LA0530500
IOTA POLICE DEPARTMENT,LA0010400
IOWA POLICE DEPARTMENT,LA0100700
JACKSON POLICE DEPARTMENT,LA0190200
JAMESTOWN POLICE DEPARTMENT,LA0070500
JEAN LAFITTE POLICE DEPARTMENT,LA0260600
JEANERETTE POLICE DEPARTMENT,LA0230200
JENA POLICE DEPARTMENT,LA0300100
JENNINGS POLICE DEPARTMENT,LA0270200
JONESBORO POLICE DEPARTMENT,LA0250100
JONESVILLE POLICE DEPARTMENT,LA0130100
JUNCTION CITY POLICE DEPARTMENT,LA0560500
KAPLAN POLICE DEPARTMENT,LA0570200
KEACHI POLICE DEPARTMENT,LA0160500
KENNER POLICE DEPARTMENT,LA0260300
KENTWOOD POLICE DEPARTMENT,LA0530200
KILBOURNE POLICE DEPARTMENT,LA0620300
KILLIAN POLICE DEPARTMENT,LA0320800
KINDER POLICE DEPARTMENT,LA0020100
KROTZ SPRINGS POLICE DEPARTMENT,LA0490800
LAFAYETTE POLICE DEPARTMENT,LA0280300
LAKE ARTHUR POLICE DEPARTMENT,LA0270300
LAKE CHARLES POLICE DEPARTMENT,LA0100200
LAKE PROVIDENCE POLICE DEPARTMENT,LA0180100
LECOMPTE POLICE DEPARTMENT,LA0400400
LEESVILLE POLICE DEPARTMENT,LA0580100
LEONVILLE POLICE DEPARTMENT,LA0491000
LILLIE POLICE DEPARTMENT,LA0560700
LISBON POLICE DEPARTMENT,LA0140400
LIVINGSTON POLICE DEPARTMENT,LA0320200
LIVONIA POLICE DEPARTMENT,LA0390300
LOCKPORT POLICE DEPARTMENT,LA0290300
LOGANSPORT POLICE DEPARTMENT,LA0160200
LONGSTREET POLICE DEPARTMENT,LA0160600
LOREAUVILLE POLICE DEPARTMENT,LA0230400
LUTCHER POLICE DEPARTMENT,LA0470100
MADISONVILLE POLICE DEPARTMENT,LA0520800
MAMOU POLICE DEPARTMENT,LA0200200
MANDEVILLE POLICE DEPARTMENT,LA0520300
MANGHAM POLICE DEPARTMENT,LA0420300
MANSFIELD POLICE DEPARTMENT,LA0160100
MANSURA POLICE DEPARTMENT,LA0050500
MANY POLICE DEPARTMENT,LA0430100
MAPLEWOOD POLICE DEPARTMENT - CANT FIND ON GOOGLE,LA0100600
MARINGOUIN POLICE DEPARTMENT,LA0240100
MARION POLICE DEPARTMENT,LA0560400
MARKSVILLE POLICE DEPARTMENT,LA0050200
MARTIN POLICE DEPARTMENT,LA0410400
MAURICE POLICE DEPARTMENT,LA0570600
