Agency Name,ORI Number
FERRIDAY POLICE DEPARTMENT,LA0150100
FISHER POLICE DEPARTMENT,LA0430700
FISHER POLICE DEPT,LA0430700
FLORIEN POLICE DEPARTMENT,LA0430500
FOLSOM POLICE DEPARTMENT,LA0520700
FORDOCHE POLICE DEPARTMENT,LA0390400
FOREST HILL POLICE DEPARTMENT,LA0400800
FOREST POLICE DEPARTMENT,LA0620400
FRANKLIN PARISH SHERIFF'S OFFICE,LA0210000
FRANKLIN POLICE DEPARTMENT,LA0510200
FRANKLINTON POLICE DEPARTMENT,LA0590200
FRENCH SETTLEMENT POLICE DEPARTMENT,LA0320700
GEORGETOWN POLICE DEPARTMENT,LA0220400
GIBSLAND POLICE DEPARTMENT,LA0070200
GIBSLAND POLICE DEPT,LA0070200
GILBERT POLICE DEPARTMENT,LA0210300
GILLIAM POLICE DEPARTMENT,LA0091100
GLENMORA POLICE DEPARTMENT,LA0400600
GOLDEN MEADOW POLICE DEPARTMENT,LA0290100
GOLDONNA POLICE DEPARTMENT,LA0350500
GONZALES POLICE DEPARTMENT,LA0030200
GRAMBLING POLICE DEPARTMENT,LA0310300
GRAMBLING STATE UNIVERSITY POLICE DEPT.,LA0310600
GRAMERCY POLICE DEPARTMENT,LA0470200
GRAND CANE POLICE DEPARTMENT,LA0160300
GRAND COTEAU POLICE DEPARTMENT,LA0490900
GRAND ISLE POLICE DEPARTMENT,LA0260500
GRANT PARISH SHERIFF'S OFFICE,LA0220000
GRAYSON POLICE DEPARTMENT,LA0110300
GREENSBURG POLICE DEPARTMENT,LA0460100
GREENWOOD POLICE DEPARTMENT,LA0091000
GRETNA POLICE DEPARTMENT,LA0260100
GROSSE TETE POLICE DEPARTMENT,LA0240400
GROSSE TETE POLICE DEPT,LA0240400
GUEYDAN POLICE DEPARTMENT,LA0570500
GUEYDAN POLICE DEPT,LA0570500
HALL SUMMIT POLICE DEPARTMENT,LA0410300
HAMMOND POLICE DEPARTMENT,LA0530100
HARAHAN POLICE DEPARTMENT,LA0260200
HARBOR POLICE - PORT OF NEW ORLEANS POLICE DEPARTMENT,LA0360100
HARRISONBURG POLICE DEPARTMENT,LA0130300
HAUGHTON POLICE DEPARTMENT,LA0080400
HAYNESVILLE POLICE DEPARTMENT,LA0140100
HAYNESVILLE POLICE DEPT,LA0140100
HEFLIN POLICE DEPARTMENT,LA0600900
HENDERSON POLICE DEPARTMENT,LA0500400
HESSMER POLICE DEPARTMENT,LA0050700
HODGE POLICE DEPARTMENT,LA0250400
HODGE POLICE DEPT.,LA0250400
HOMER POLICE DEPARTMENT,LA0140200
HORNBECK POLICE DEPARTMENT,LA0580400
